timestamp,confidence,box_width,box_height,is_confirmed
1781296386.1270132,0.3092,195,224,1
1781296386.30172,0.2499,191,242,0
1781296386.6328092,0.3372,191,244,1
1781296391.6983368,0.2045,213,232,0
1781296397.928849,0.2882,227,157,1
1781296398.0822637,0.1530,237,180,0
1781296401.2668653,0.2127,268,242,0
1781296404.1179812,0.1674,239,236,0
1781296404.9567435,0.1622,224,195,0
1781296405.1797729,0.4177,191,186,1
1781296405.3447049,0.5196,177,181,1
1781296405.5294209,0.4340,197,174,1
1781296411.0647998,0.2515,228,231,1
1781296411.2363453,0.3723,238,230,1
1781296411.575708,0.2375,220,226,0
1781296411.8119104,0.3015,230,226,1
1781296412.0126698,0.2359,214,197,0
1781296412.1966424,0.1898,221,224,0
1781296412.3506372,0.2439,230,219,0
1781296412.5085726,0.4361,226,204,1
1781296412.6637719,0.3859,229,226,1
1781296412.8127053,0.2534,223,235,1
1781296412.9748325,0.2260,225,228,0
1781296413.1485214,0.2213,231,209,0
1781296413.39204,0.2546,236,234,1
1781296413.5675058,0.2773,222,232,1
1781296413.8447046,0.2016,231,233,0
1781296420.2097638,0.2318,225,201,0
1781296420.3701284,0.2464,194,166,0
1781296420.677415,0.2957,229,214,1
1781296420.8457472,0.2258,153,194,0
1781296421.0127196,0.2667,198,220,1
1781296421.1880946,0.2496,212,222,0
1781296421.3614657,0.1995,225,220,0
1781296421.5363584,0.2371,233,224,0
1781296421.7064948,0.2138,197,219,0
1781296421.8833406,0.1928,217,215,0
1781296422.0506003,0.2318,243,227,0
1781296422.2231534,0.2132,234,222,0
1781296422.3991694,0.1727,241,212,0
1781296422.7401752,0.2187,232,222,0
1781296422.920911,0.1950,231,214,0
1781296423.1054704,0.1854,234,221,0
1781296423.2723858,0.2241,177,209,0
1781296423.445676,0.1871,242,229,0
1781296423.6187108,0.2702,182,188,1
1781296423.7946863,0.1787,183,207,0
1781296423.9612055,0.1875,219,221,0
1781296424.443274,0.2086,213,220,0
1781296424.9336398,0.2864,170,189,1
1781296425.1089582,0.2963,218,201,1
1781296425.2817364,0.2729,216,210,1
